WB_id,symbol,sequence,live_dead,type,logFC,logCPM,PValue,FDR
WBGene00018468,cla-1,F45E4.3,Live,protein_coding_gene,-0.066280579,8.289082467,0.604184119,0.85353373
WBGene00019415,,K05F6.4,Live,protein_coding_gene,-0.198352455,0.435600065,0.604134261,0.85353373
WBGene00015942,osta-2,C18A3.4,Live,protein_coding_gene,0.055913931,5.444384343,0.604339971,0.853669697
WBGene00023500,,C11H1.9,Live,protein_coding_gene,-0.060361217,5.017245022,0.60488122,0.854349983
WBGene00000894,dab-1,M110.5,Live,protein_coding_gene,0.061221323,7.813775818,0.605327756,0.854355114
WBGene00002251,lat-1,B0457.1,Live,protein_coding_gene,0.045123606,7.022411335,0.605195494,0.854355114
WBGene00012982,jmjd-2,Y48B6A.11,Live,protein_coding_gene,-0.050047674,5.67929418,0.605063073,0.854355114
WBGene00013623,fbxa-90,Y102A5C.19,Live,protein_coding_gene,0.090926013,2.888186552,0.605141723,0.854355114
WBGene00015742,kxd-1,C13F10.2,Live,protein_coding_gene,-0.117428137,1.967160766,0.605135871,0.854355114
WBGene00020510,,T14G11.1,Live,protein_coding_gene,0.058637989,5.263409437,0.605291109,0.854355114
WBGene00020757,ucr-2.3,T24C4.1,Live,protein_coding_gene,-0.093122274,3.414953256,0.605362079,0.854355114
WBGene00022025,cus-2,Y65B4A.1,Live,protein_coding_gene,-0.058031232,5.234960454,0.605049303,0.854355114
WBGene00011352,rskn-1,T01H8.1,Live,protein_coding_gene,-0.059144561,6.763730826,0.605477903,0.854434381
WBGene00007755,,C27A7.3,Live,protein_coding_gene,-0.076325264,3.029839868,0.605588976,0.854506927
WBGene00012718,dhhc-8,Y39E4B.7,Live,protein_coding_gene,0.068175668,4.040898612,0.605726764,0.854613027
WBGene00021740,,Y50D4B.1,Live,protein_coding_gene,-0.066067384,4.371491293,0.605783511,0.854613027
WBGene00001085,dpy-26,C25G4.5,Live,protein_coding_gene,-0.043747241,6.829095594,0.606105978,0.854981486
WBGene00017836,,F26F12.5,Live,protein_coding_gene,0.187071951,0.523288832,0.606164084,0.854981486
WBGene00011551,,T06G6.12,Live,protein_coding_gene,-0.144244767,1.113161921,0.606307176,0.855099102
WBGene00002184,kel-1,C47D12.7,Live,protein_coding_gene,0.073679291,3.88563118,0.607013941,0.855278281
WBGene00003774,nmr-1,F07F6.6,Live,protein_coding_gene,0.128555519,1.62225093,0.606801144,0.855278281
WBGene00003929,pat-2,F54F2.1,Live,protein_coding_gene,0.070985616,7.417478145,0.606964154,0.855278281
