WB_id,symbol,sequence,live_dead,type,logFC,logCPM,PValue,FDR
WBGene00005832,srw-85,C25F9.1,Live,protein_coding_gene,-4.310489052,5.114022438,2.62E-231,3.75E-227
WBGene00219313,,C17E4.20,Live,protein_coding_gene,-6.60294747,4.139711883,6.50E-201,4.65E-197
WBGene00008905,,F17B5.1,Live,protein_coding_gene,-7.228128173,5.168360929,6.63E-199,3.16E-195
WBGene00011362,cest-1.1,T02B5.1,Live,protein_coding_gene,-7.291974673,3.442929313,8.88E-131,3.18E-127
WBGene00015403,clec-10,C03H5.1,Live,protein_coding_gene,3.257212055,5.586592156,2.64E-107,7.57E-104
WBGene00018174,,F38B6.4,Live,protein_coding_gene,-4.489812836,5.154157309,1.19E-101,2.85E-98
WBGene00003473,mtl-1,K11G9.6,Live,protein_coding_gene,-4.767916689,4.875388082,4.19E-101,8.57E-98
WBGene00008850,,F15B9.6,Live,protein_coding_gene,-5.108112542,3.492883732,1.40E-83,2.51E-80
WBGene00018850,gpx-8,F55A3.5,Live,protein_coding_gene,2.863437753,4.061314378,6.70E-83,1.07E-79
WBGene00001852,hil-1,C30G7.1,Live,protein_coding_gene,-2.442714129,6.208963339,2.57E-82,3.69E-79
WBGene00009908,,F49H6.5,Live,protein_coding_gene,2.865573058,4.235820541,5.82E-81,7.58E-78
WBGene00000782,cpr-2,F36D3.9,Live,protein_coding_gene,-5.142788962,5.806342843,6.28E-79,7.50E-76
WBGene00019376,lipl-4,K04A8.5,Live,protein_coding_gene,-4.912910669,2.516938104,6.31E-78,6.95E-75
WBGene00018602,,F48D6.4,Live,protein_coding_gene,-2.262994765,7.19337549,4.33E-73,4.43E-70
WBGene00003778,nnt-1,C15H9.1,Live,protein_coding_gene,-2.632669021,5.908080196,1.80E-66,1.72E-63
WBGene00017501,pud-3,F15E11.15,Live,protein_coding_gene,-4.920686175,7.584528554,3.10E-64,2.77E-61
WBGene00001692,grd-3,W05E7.1,Live,protein_coding_gene,-3.952209999,5.035546946,1.33E-62,1.12E-59
WBGene00017128,,E04F6.9,Live,protein_coding_gene,-2.222071651,5.064204822,4.78E-62,3.80E-59
WBGene00015393,exc-13,C03G6.5,Live,protein_coding_gene,-2.031850729,4.966716099,1.88E-61,1.42E-58
WBGene00003957,pcp-2,F23B2.12,Live,protein_coding_gene,2.930332946,5.365754579,4.94E-60,3.54E-57
WBGene00020909,,W01A11.1,Live,protein_coding_gene,-1.953139924,5.606508126,1.50E-58,1.02E-55
WBGene00002113,ins-30,ZC334.2,Live,protein_coding_gene,-2.476481161,4.088510267,1.58E-58,1.03E-55
WBGene00001694,grd-5,F41E6.2,Live,protein_coding_gene,-3.931925715,5.49029757,6.09E-58,3.79E-55
WBGene00000784,cpr-4,F44C4.3,Live,protein_coding_gene,2.588040997,10.50140922,1.60E-57,9.57E-55
WBGene00020326,math-38,T07H3.3,Live,protein_coding_gene,2.377748945,3.791410324,2.25E-52,1.29E-49
WBGene00012404,,Y6G8.2,Live,protein_coding_gene,-2.308039108,5.897174632,1.55E-51,8.56E-49
WBGene00019931,,R07C12.1,Live,protein_coding_gene,3.751963696,2.371507287,3.74E-50,1.98E-47
WBGene00014047,clec-61,ZK666.7,Live,protein_coding_gene,-4.708057178,2.798767154,2.35E-49,1.20E-46
WBGene00008567,acox-1.4,F08A8.4,Live,protein_coding_gene,-2.980969947,4.544053399,3.04E-49,1.50E-46
WBGene00007452,,C08F11.3,Live,protein_coding_gene,-3.87359128,2.07899289,3.90E-48,1.86E-45
WBGene00219216,,K08D10.14,Live,protein_coding_gene,2.666105714,3.180650689,5.10E-48,2.36E-45
WBGene00011733,,T12D8.5,Live,protein_coding_gene,-2.303810692,5.357834159,2.78E-47,1.25E-44
WBGene00003096,lys-7,C02A12.4,Live,protein_coding_gene,-3.795626601,3.871834213,1.91E-45,8.28E-43
WBGene00017374,ttr-41,F10G7.11,Live,protein_coding_gene,-1.36241184,6.549877961,2.56E-43,1.08E-40
WBGene00008296,cdr-2,C54D10.1,Live,protein_coding_gene,-2.553686505,4.120236814,4.36E-42,1.78E-39
WBGene00000975,dhs-12,K08F4.9,Live,protein_coding_gene,-1.514202296,5.275948895,5.25E-41,2.09E-38
WBGene00017969,ctsa-3.1,F32A5.3,Live,protein_coding_gene,1.389364651,5.869724933,1.24E-38,4.82E-36
WBGene00012546,,Y37D8A.4,Live,protein_coding_gene,1.763064682,4.46145059,1.31E-38,4.94E-36
WBGene00020329,bath-26,T07H3.6,Live,protein_coding_gene,-1.862839476,3.938233832,2.35E-38,8.62E-36
WBGene00010399,clec-13,H16D19.1,Live,protein_coding_gene,-2.556023835,5.11953159,9.84E-38,3.52E-35
WBGene00000656,col-80,C09G5.5,Live,protein_coding_gene,-2.537465873,6.179144856,4.15E-37,1.45E-34
WBGene00000912,daf-16,R13H8.1,Live,protein_coding_gene,-1.648740386,7.372622345,4.95E-37,1.69E-34
WBGene00000785,cpr-5,W07B8.5,Live,protein_coding_gene,2.656236731,9.057300163,6.54E-36,2.18E-33
WBGene00009835,,F47H4.2,Live,protein_coding_gene,-1.642100315,4.975648376,8.11E-36,2.64E-33
WBGene00012615,dct-16,Y38H6C.1,Live,protein_coding_gene,-1.772160581,6.311024974,1.01E-35,3.20E-33
WBGene00007963,cyp-25A1,C36A4.1,Live,protein_coding_gene,-3.095406265,2.30482082,1.27E-35,3.95E-33
WBGene00019674,,K12C11.3,Live,protein_coding_gene,2.92977745,1.974692213,5.74E-35,1.75E-32
WBGene00022497,,Y119D3B.21,Live,protein_coding_gene,-1.456815405,6.195614099,8.17E-35,2.44E-32
WBGene00017592,,F19C7.2,Live,protein_coding_gene,2.36296768,4.513982639,9.63E-35,2.82E-32
WBGene00009028,,F21H7.2,Live,protein_coding_gene,-2.84036305,2.761751794,1.19E-33,3.41E-31
WBGene00015839,math-10,C16C4.15,Live,protein_coding_gene,2.187365716,2.454945432,4.02E-33,1.13E-30
WBGene00004932,sod-3,C08A9.1,Live,protein_coding_gene,-5.477947238,1.834882073,5.17E-33,1.42E-30
WBGene00013073,hmit-1.1,Y51A2D.4,Live,protein_coding_gene,2.01157096,4.718838198,2.96E-32,8.01E-30
WBGene00000973,dhs-9,Y32H12A.3,Live,protein_coding_gene,-1.558176295,5.531407247,4.72E-32,1.25E-29
WBGene00001751,gst-3,K08F4.11,Live,protein_coding_gene,-1.405783801,4.686531509,7.83E-32,2.04E-29
WBGene00011798,,T16G1.4,Live,protein_coding_gene,1.621490812,4.194627879,9.53E-32,2.44E-29
WBGene00012492,fbxb-7,Y20C6A.2,Live,protein_coding_gene,-3.12218295,2.127090778,2.02E-31,5.09E-29
WBGene00016295,fbxc-40,C32B5.1,Live,protein_coding_gene,1.596069435,3.429711737,1.68E-30,4.15E-28
WBGene00020258,,T05E7.1,Live,protein_coding_gene,1.658870816,4.684582638,2.74E-30,6.64E-28
WBGene00013074,hmit-1.2,Y51A2D.5,Live,protein_coding_gene,2.049396715,4.620116925,4.66E-30,1.11E-27
WBGene00011584,clec-15,T07D10.4,Live,protein_coding_gene,-2.355799743,5.121391907,6.06E-30,1.42E-27
WBGene00012398,,Y6E2A.4,Live,protein_coding_gene,-2.140211452,3.84647873,7.03E-30,1.62E-27
WBGene00003091,lys-2,Y22F5A.5,Live,protein_coding_gene,-1.908272185,5.698029075,1.45E-29,3.30E-27
WBGene00009343,,F32H2.6,Live,protein_coding_gene,1.764983225,3.24157161,2.40E-29,5.37E-27
WBGene00009499,ent-6,F36H2.2,Live,protein_coding_gene,-1.841668008,3.333678638,1.61E-28,3.56E-26
WBGene00000673,col-98,F14F7.1,Live,protein_coding_gene,-3.326198863,8.377693446,2.29E-28,4.98E-26
WBGene00002109,ins-26,ZC334.1,Live,protein_coding_gene,-2.511831898,3.268989046,2.93E-28,6.25E-26
WBGene00020343,acs-3,T08B1.6,Live,protein_coding_gene,-2.810335808,3.59694608,6.40E-28,1.35E-25
WBGene00020741,dlhd-1,T23F4.3,Live,protein_coding_gene,-2.649415282,3.208972388,1.06E-27,2.19E-25
WBGene00015913,,C17F4.7,Live,protein_coding_gene,1.191798671,9.209738462,1.09E-27,2.24E-25
WBGene00044455,,F23F12.13,Live,protein_coding_gene,1.730012602,3.357295422,1.72E-27,3.47E-25
WBGene00007331,pho-11,C05C10.4,Live,protein_coding_gene,2.110897084,7.203462085,3.04E-27,6.04E-25
WBGene00016943,acdh-1,C55B7.4,Live,protein_coding_gene,-4.197281072,9.254057626,3.77E-27,7.39E-25
WBGene00008040,ttr-5,C40H1.5,Live,protein_coding_gene,-1.535098223,5.185457244,5.42E-27,1.05E-24
WBGene00020878,,T28A11.16,Live,protein_coding_gene,2.218520656,2.590879646,1.38E-26,2.64E-24
WBGene00018610,,F48E8.3,Live,protein_coding_gene,-1.011014631,7.505392269,1.72E-26,3.23E-24
WBGene00002107,ins-24,ZC334.3,Live,protein_coding_gene,-2.533868875,2.954919417,1.87E-26,3.47E-24
WBGene00008042,,C40H1.7,Live,protein_coding_gene,2.339699892,3.510321035,1.89E-26,3.47E-24
WBGene00012608,hphd-1,Y38F1A.6,Live,protein_coding_gene,-1.455998749,8.319636757,4.65E-26,8.44E-24
WBGene00002258,lbp-6,W02D3.5,Live,protein_coding_gene,-1.13321559,7.031365412,6.28E-26,1.12E-23
WBGene00017200,,F07C4.6,Live,protein_coding_gene,-5.018583645,0.81106609,7.20E-26,1.27E-23
WBGene00009859,clec-33,F49A5.7,Live,protein_coding_gene,3.437518992,1.335836111,8.25E-26,1.44E-23
WBGene00003982,pes-9,R11H6.1,Live,protein_coding_gene,-1.146365215,7.77435548,1.30E-25,2.25E-23
WBGene00021583,clec-72,Y46C8AL.5,Live,protein_coding_gene,-2.287902557,4.681683304,2.14E-25,3.66E-23
WBGene00015828,math-14,C16C4.4,Live,protein_coding_gene,2.612050497,2.588536494,2.47E-25,4.16E-23
WBGene00044296,,F10C1.9,Live,protein_coding_gene,1.414083644,4.79373054,3.37E-25,5.60E-23
WBGene00020135,aakg-4,T01B6.3,Live,protein_coding_gene,-1.142055287,5.613065211,4.12E-25,6.77E-23
WBGene00003766,nlp-28,B0213.3,Live,protein_coding_gene,-1.901483261,3.039183161,4.36E-25,7.10E-23
WBGene00008044,,C40H1.9,Live,protein_coding_gene,-2.075630793,2.336214074,5.51E-25,8.78E-23
WBGene00015116,paic-1,B0286.3,Live,protein_coding_gene,-1.640663091,5.371575012,5.51E-25,8.78E-23
WBGene00017214,,F07E5.9,Live,protein_coding_gene,3.592185123,0.874608328,5.76E-25,9.07E-23
WBGene00021335,spp-23,Y34D9A.11,Live,protein_coding_gene,2.56482807,4.146991113,7.85E-25,1.22E-22
WBGene00008485,ugt-43,F01D4.1,Live,protein_coding_gene,-2.36096031,2.831584623,9.47E-25,1.46E-22
WBGene00009663,hda-5,F43G6.11,Live,protein_coding_gene,-1.329474308,3.65601012,1.15E-24,1.75E-22
WBGene00009048,cth-1,F22B8.6,Live,protein_coding_gene,1.204442929,5.908412121,1.23E-24,1.85E-22
WBGene00000786,cpr-6,C25B8.3,Live,protein_coding_gene,-1.200339693,8.332476888,2.50E-24,3.73E-22
WBGene00019153,,H04M03.3,Live,protein_coding_gene,-2.739277465,2.227770424,2.75E-24,4.06E-22
WBGene00016644,abhd-3.2,C44C1.5,Live,protein_coding_gene,1.449641495,4.692809549,2.97E-24,4.33E-22
WBGene00020784,tat-4,T24H7.5,Live,protein_coding_gene,-0.846347291,6.759775051,3.22E-24,4.66E-22
WBGene00014001,pyk-2,ZK593.1,Live,protein_coding_gene,-1.147167615,5.819296091,3.80E-24,5.44E-22
WBGene00000175,aqp-7,M02F4.8,Live,protein_coding_gene,0.786826902,8.564721254,7.26E-24,1.03E-21
WBGene00013840,fbxa-151,ZC47.7,Live,protein_coding_gene,-2.414076016,1.665728273,1.32E-23,1.85E-21
WBGene00023490,,F36A2.14,Live,protein_coding_gene,2.261592989,2.059481139,1.48E-23,2.06E-21
WBGene00005703,sru-40,R07B5.3,Live,protein_coding_gene,-1.931456827,2.544676893,2.04E-23,2.81E-21
WBGene00000781,cpr-1,C52E4.1,Live,protein_coding_gene,1.796279571,7.638349892,2.31E-23,3.16E-21
WBGene00021587,clec-76,Y46C8AR.1,Live,protein_coding_gene,-2.293075175,3.157351245,5.85E-23,7.91E-21
WBGene00044896,,K12C11.5,Live,protein_coding_gene,4.312342952,0.132816908,5.92E-23,7.92E-21
WBGene00011004,,R04B5.6,Live,protein_coding_gene,-3.796764516,1.334546041,8.17E-23,1.08E-20
WBGene00016302,fbxc-7,C32B5.9,Live,protein_coding_gene,-2.614786075,2.345415736,1.22E-22,1.60E-20
WBGene00017964,,F31F7.1,Live,protein_coding_gene,1.064859892,8.86446197,1.79E-22,2.33E-20
WBGene00001155,ech-6,T05G5.6,Live,protein_coding_gene,-1.075126304,8.461819414,2.04E-22,2.63E-20
WBGene00016594,,C42D4.1,Live,protein_coding_gene,-1.061962079,7.539025968,2.99E-22,3.82E-20
WBGene00003786,npa-1,VC5.3,Live,protein_coding_gene,-1.110289972,10.41629931,3.67E-22,4.65E-20
WBGene00012825,,Y43F8C.3,Live,protein_coding_gene,-0.886532178,6.531781053,5.55E-22,6.97E-20
WBGene00194815,,Y43F8B.23,Live,protein_coding_gene,1.520538863,2.551342244,5.91E-22,7.37E-20
WBGene00007440,,C08E8.4,Live,protein_coding_gene,-2.016553429,3.070200373,6.14E-22,7.58E-20
WBGene00008654,pfas-1,F10F2.2,Live,protein_coding_gene,-1.098266535,6.12116851,6.94E-22,8.50E-20
WBGene00008741,ctsa-1.2,F13D12.6,Live,protein_coding_gene,1.375892651,7.184174217,1.16E-21,1.40E-19
WBGene00020393,,T10B5.7,Live,protein_coding_gene,1.185781013,6.214571207,1.34E-21,1.62E-19
WBGene00017362,,F10G2.1,Live,protein_coding_gene,0.99716197,5.452128592,1.67E-21,1.99E-19
WBGene00044471,,F56D6.9,Live,protein_coding_gene,-5.598760379,2.858062036,1.73E-21,2.05E-19
WBGene00011763,,T14B1.1,Live,protein_coding_gene,-0.84372569,8.972926236,1.79E-21,2.10E-19
WBGene00045338,,M01B2.13,Live,protein_coding_gene,-1.971792034,2.299722587,2.31E-21,2.69E-19
WBGene00016218,pals-23,C29F9.3,Live,protein_coding_gene,-1.314621539,4.604350995,2.99E-21,3.45E-19
WBGene00017443,,F13H8.11,Live,protein_coding_gene,-1.910960718,2.977920826,4.65E-21,5.33E-19
WBGene00009515,clec-170,F38A1.1,Live,protein_coding_gene,3.275488069,1.682507643,4.89E-21,5.55E-19
WBGene00011244,,R11D1.3,Live,protein_coding_gene,-2.003667563,3.153136045,6.33E-21,7.14E-19
WBGene00017101,,E02H9.3,Live,protein_coding_gene,1.234422317,3.668205347,7.32E-21,8.19E-19
WBGene00021089,,W08E12.8,Live,protein_coding_gene,-2.050537136,3.581382419,8.40E-21,9.33E-19
WBGene00012911,acl-7,Y46G5A.21,Live,protein_coding_gene,1.109887313,5.835458796,8.82E-21,9.72E-19
WBGene00021576,fbxc-51,Y46B2A.1,Live,protein_coding_gene,-2.823437548,2.637827116,8.94E-21,9.77E-19
WBGene00000102,akt-1,C12D8.10,Live,protein_coding_gene,-0.929013225,7.522141116,9.15E-21,9.93E-19
WBGene00001782,gst-34,Y1H11.1,Live,protein_coding_gene,-2.368783391,2.178458995,9.97E-21,1.07E-18
WBGene00012252,,W04E12.7,Live,protein_coding_gene,-1.695901816,2.294279834,1.32E-20,1.41E-18
WBGene00016942,,C55B7.3,Live,protein_coding_gene,-3.088371285,2.727142554,1.58E-20,1.68E-18
WBGene00008565,acox-1.2,F08A8.2,Live,protein_coding_gene,1.67926522,6.565344463,1.80E-20,1.89E-18
WBGene00010055,,F54D5.12,Live,protein_coding_gene,-1.030795883,6.924128215,1.99E-20,2.09E-18
WBGene00009706,argk-1,F44G3.2,Live,protein_coding_gene,1.76363678,4.5562496,2.39E-20,2.48E-18
WBGene00002147,ire-1,C41C4.4,Live,protein_coding_gene,-0.770187843,6.40868015,3.32E-20,3.43E-18
WBGene00016175,,C27H5.6,Live,protein_coding_gene,2.035434114,1.807861422,3.61E-20,3.70E-18
WBGene00012664,,Y39B6A.1,Live,protein_coding_gene,-2.092230018,5.760243125,5.52E-20,5.61E-18
WBGene00003658,nhr-68,H12C20.3,Live,protein_coding_gene,-1.388403376,5.632299427,6.09E-20,6.14E-18
WBGene00002118,ins-35,K02E2.4,Live,protein_coding_gene,-2.03341656,2.672569268,7.77E-20,7.78E-18
WBGene00006979,zig-2,F42F12.2,Live,protein_coding_gene,2.112911478,1.626749292,8.18E-20,8.14E-18
WBGene00020946,,W02D7.11,Live,protein_coding_gene,-4.198844409,3.265164938,1.09E-19,1.07E-17
WBGene00009856,clec-24,F49A5.4,Live,protein_coding_gene,2.474495184,2.003223998,1.31E-19,1.28E-17
WBGene00011399,,T03F6.3,Live,protein_coding_gene,-1.276054398,3.696073643,1.40E-19,1.37E-17
WBGene00009237,,F28H7.3,Live,protein_coding_gene,1.294525374,5.570084523,1.70E-19,1.64E-17
WBGene00012810,nceh-1,Y43F8A.3,Live,protein_coding_gene,-2.162163841,2.408104929,1.76E-19,1.69E-17
WBGene00010204,,F57F5.1,Live,protein_coding_gene,1.346358567,8.85151703,2.40E-19,2.29E-17
WBGene00000983,dhs-20,F35B12.2,Live,protein_coding_gene,-1.788580285,4.181289282,2.49E-19,2.37E-17
WBGene00002110,ins-27,ZC334.11,Live,protein_coding_gene,-1.441819735,4.202547162,2.96E-19,2.78E-17
WBGene00011274,,R53.5,Live,protein_coding_gene,-1.103494214,4.706093676,2.97E-19,2.78E-17
WBGene00013882,msa-1,ZC410.5,Live,protein_coding_gene,-1.122695922,6.929783799,3.49E-19,3.22E-17
WBGene00019846,gpx-7,R03G5.5,Live,protein_coding_gene,-1.435495629,3.260629786,3.49E-19,3.22E-17
WBGene00013489,col-42,Y69H2.14,Live,protein_coding_gene,-2.729069205,8.809548728,3.67E-19,3.35E-17
WBGene00021268,capa-1,Y23B4A.2,Live,protein_coding_gene,1.055049528,5.423319765,3.67E-19,3.35E-17
WBGene00010086,,F55B11.4,Live,protein_coding_gene,-1.340476144,3.224882077,5.47E-19,4.96E-17
WBGene00010238,,F58B4.5,Live,protein_coding_gene,1.186200612,4.970569727,6.03E-19,5.43E-17
WBGene00018851,,F55A3.6,Live,protein_coding_gene,3.823322458,0.929695411,6.10E-19,5.46E-17
WBGene00019730,asns-2,M02D8.4,Live,protein_coding_gene,-1.633211423,7.696273226,6.66E-19,5.93E-17
WBGene00008833,,F14H8.2,Live,protein_coding_gene,-1.776285759,2.036751968,7.17E-19,6.34E-17
WBGene00020881,,T28A11.19,Live,protein_coding_gene,2.542042242,0.749183054,7.93E-19,6.97E-17
WBGene00000008,aat-7,F54D12.3,Live,protein_coding_gene,2.78819012,0.896114478,1.05E-18,9.20E-17
WBGene00009049,,F22B8.7,Live,protein_coding_gene,-1.114082059,4.757424028,1.18E-18,1.03E-16
WBGene00019105,asp-8,F59D6.3,Live,protein_coding_gene,1.049077793,5.689919965,1.20E-18,1.03E-16
WBGene00000779,cpn-3,F28H1.2,Live,protein_coding_gene,-1.106396166,6.800783998,1.41E-18,1.21E-16
WBGene00018848,,F55A3.2,Live,protein_coding_gene,0.824190835,5.094131763,1.55E-18,1.33E-16
WBGene00010955,,M199.7,Live,protein_coding_gene,-3.216220409,1.018960509,2.00E-18,1.70E-16
WBGene00000677,col-103,F56B3.1,Live,protein_coding_gene,-2.295663032,8.489691028,2.16E-18,1.82E-16
WBGene00020364,,T08E11.8,Live,protein_coding_gene,-1.738575556,2.269119949,2.84E-18,2.38E-16
WBGene00006808,unc-76,C01G10.11,Live,protein_coding_gene,0.794265297,5.844839983,3.10E-18,2.58E-16
WBGene00009805,,F47B8.4,Live,protein_coding_gene,-2.581821818,1.505866733,3.63E-18,3.00E-16
WBGene00000966,dhs-2,F55A12.4,Live,protein_coding_gene,-1.386156879,3.519870895,3.99E-18,3.28E-16
WBGene00000749,col-176,ZC373.7,Live,protein_coding_gene,-3.728616279,2.005079198,4.11E-18,3.37E-16
WBGene00018258,,F41B4.2,Live,protein_coding_gene,0.915821993,5.070897853,4.45E-18,3.60E-16
WBGene00022397,,Y97E10AR.2,Live,protein_coding_gene,-0.838064051,4.678379491,4.42E-18,3.60E-16
WBGene00019345,tmem-135,K02G10.3,Live,protein_coding_gene,1.521491133,4.871840227,5.64E-18,4.54E-16
WBGene00020357,,T08E11.1,Live,protein_coding_gene,-2.373302316,1.630368964,5.74E-18,4.60E-16
WBGene00010524,,K03B8.6,Live,protein_coding_gene,-0.95293383,5.159178876,1.02E-17,8.10E-16
WBGene00022324,fbxa-26,Y82E9BL.7,Live,protein_coding_gene,-7.19734558,0.241085828,1.13E-17,8.91E-16
WBGene00013904,ugt-6,ZC455.4,Live,protein_coding_gene,-1.69794555,4.213404888,1.23E-17,9.69E-16
WBGene00001500,ftn-1,C54F6.14,Live,protein_coding_gene,-2.165946833,3.08154958,1.91E-17,1.49E-15
WBGene00004930,sod-1,C15F1.7,Live,protein_coding_gene,-0.831221945,6.958415484,2.86E-17,2.22E-15
WBGene00016863,cest-35.2,C52A10.2,Live,protein_coding_gene,-2.724834686,2.257433515,4.29E-17,3.32E-15
WBGene00235352,,ZK250.13,Live,protein_coding_gene,1.030865303,4.759505839,5.97E-17,4.60E-15
WBGene00009857,clec-28,F49A5.5,Live,protein_coding_gene,1.765632857,2.000589376,6.11E-17,4.68E-15
WBGene00022383,,Y95B8A.2,Live,protein_coding_gene,-2.436877572,3.793612086,6.23E-17,4.74E-15
WBGene00016219,pals-24,C29F9.4,Live,protein_coding_gene,-1.079160015,3.785504778,8.04E-17,6.09E-15
WBGene00011052,arrd-11,R06B9.1,Live,protein_coding_gene,-2.685207453,2.712401416,1.07E-16,8.04E-15
WBGene00009984,,F53F1.6,Live,protein_coding_gene,1.418413164,2.962294004,1.13E-16,8.49E-15
WBGene00008301,pals-39,C54D10.7,Live,protein_coding_gene,-1.720670753,2.420155331,1.35E-16,1.01E-14
WBGene00001393,fat-1,Y67H2A.8,Live,protein_coding_gene,0.804687885,9.611642243,1.37E-16,1.01E-14
WBGene00022665,,ZK154.1,Live,protein_coding_gene,-1.550788275,5.353731586,2.03E-16,1.50E-14
WBGene00002238,kars-1,T02G5.9,Live,protein_coding_gene,-1.088360547,8.029293531,2.26E-16,1.66E-14
WBGene00010150,,F56D5.6,Live,protein_coding_gene,-0.777971434,5.826455538,2.30E-16,1.68E-14
WBGene00008492,,F01D5.1,Live,protein_coding_gene,-1.526656785,4.398664862,2.76E-16,2.00E-14
WBGene00009433,,F35E12.9,Live,protein_coding_gene,-1.160323353,4.281956725,3.15E-16,2.28E-14
WBGene00009634,nspc-9,F42F12.1,Live,protein_coding_gene,1.750908614,2.834199058,3.26E-16,2.35E-14
WBGene00044921,,F53C11.9,Live,protein_coding_gene,-1.882165799,2.615202353,3.78E-16,2.70E-14
WBGene00013485,,Y69H2.10,Live,protein_coding_gene,-1.289066315,3.617497692,4.41E-16,3.14E-14
WBGene00020394,,T10B5.8,Live,protein_coding_gene,-2.474286645,1.436384333,4.47E-16,3.17E-14
WBGene00009087,,F23D12.3,Live,protein_coding_gene,1.698437193,4.089574556,5.16E-16,3.64E-14
WBGene00021167,cyp-32B1,Y5H2B.5,Live,protein_coding_gene,-1.56150153,4.689555124,5.27E-16,3.70E-14
WBGene00022515,ttr-48,ZC64.2,Live,protein_coding_gene,-1.105975855,4.440433367,5.31E-16,3.71E-14
WBGene00023493,nspc-12,F42F12.10,Live,protein_coding_gene,1.190456631,5.633349587,5.60E-16,3.90E-14
WBGene00001761,gst-13,T26C5.1,Live,protein_coding_gene,-1.068211094,4.916743947,5.77E-16,3.99E-14
WBGene00011539,fbxa-135,T06E6.5,Live,protein_coding_gene,-2.659197813,2.158916768,6.48E-16,4.46E-14
WBGene00019442,,K06C4.1,Live,protein_coding_gene,-6.978333543,-0.637261794,7.07E-16,4.85E-14
WBGene00009514,,F37H8.5,Live,protein_coding_gene,-0.999038309,5.646708013,7.40E-16,5.05E-14
WBGene00012326,,W07E11.1,Live,protein_coding_gene,-0.878866617,8.297838564,7.73E-16,5.25E-14
WBGene00018466,,F45E1.5,Live,protein_coding_gene,-1.29161223,3.828853122,8.21E-16,5.55E-14
WBGene00011668,clec-47,T09F5.9,Live,protein_coding_gene,-2.818058421,3.631944999,1.04E-15,7.00E-14
WBGene00009640,nspc-10,F42F12.9,Live,protein_coding_gene,1.61104579,2.616149152,1.23E-15,8.23E-14
WBGene00007054,scpl-1,B0379.4,Live,protein_coding_gene,-0.976405142,6.318394428,1.27E-15,8.46E-14
WBGene00043062,clec-80,Y54G2A.39,Live,protein_coding_gene,1.426861232,2.949475767,1.29E-15,8.58E-14
WBGene00017190,,F07B7.12,Live,protein_coding_gene,-1.175900836,5.818628125,1.31E-15,8.68E-14
WBGene00004062,pmp-5,T10H9.5,Live,protein_coding_gene,-2.063015701,6.728675367,1.38E-15,9.06E-14
WBGene00021768,,Y51F10.7,Live,protein_coding_gene,-1.150429312,6.966667042,1.45E-15,9.51E-14
WBGene00007964,cyp-25A2,C36A4.2,Live,protein_coding_gene,-1.329554501,4.791176835,1.48E-15,9.66E-14
WBGene00010357,,H03A11.2,Live,protein_coding_gene,-1.063278235,5.067370968,2.86E-15,1.86E-13
WBGene00015829,math-15,C16C4.5,Live,protein_coding_gene,2.527852683,0.918581378,3.12E-15,2.01E-13
WBGene00007131,pals-26,B0284.1,Live,protein_coding_gene,-2.614933664,2.357476111,3.16E-15,2.03E-13
WBGene00000535,cpi-1,K08B4.6,Live,protein_coding_gene,-1.432194342,4.210493643,3.21E-15,2.06E-13
WBGene00011232,pck-2,R11A5.4,Live,protein_coding_gene,-0.792859644,11.04932249,3.24E-15,2.06E-13
WBGene00044044,,C08B6.14,Live,protein_coding_gene,3.220130628,0.549755775,3.49E-15,2.21E-13
WBGene00000214,asp-1,Y39B6A.20,Live,protein_coding_gene,1.031898091,12.13817179,3.61E-15,2.27E-13
WBGene00009638,nspc-14,F42F12.7,Live,protein_coding_gene,1.300870757,5.112001786,3.77E-15,2.37E-13
WBGene00012747,,Y40H7A.10,Live,protein_coding_gene,1.884652274,1.36529952,4.27E-15,2.67E-13
WBGene00000967,dhs-3,T02E1.5,Live,protein_coding_gene,-0.98386353,4.720997677,4.85E-15,3.02E-13
WBGene00010215,nhr-193,F57G8.6,Live,protein_coding_gene,1.24380943,3.289462506,5.67E-15,3.51E-13
WBGene00018269,acs-11,F41C3.3,Live,protein_coding_gene,1.193352243,8.310532689,7.16E-15,4.42E-13
WBGene00019619,asp-14,K10C2.3,Live,protein_coding_gene,-1.348572075,6.101605691,7.44E-15,4.55E-13
WBGene00021464,ugt-31,Y39G10AR.6,Live,protein_coding_gene,-1.475247264,3.616493815,7.46E-15,4.55E-13
WBGene00022605,dmsr-11,ZC404.11,Live,protein_coding_gene,1.693025588,1.435659798,7.40E-15,4.55E-13
WBGene00013654,,Y105C5B.15,Live,protein_coding_gene,2.412729002,2.036086124,7.81E-15,4.74E-13
WBGene00001699,grd-10,F09D12.1,Live,protein_coding_gene,-1.436083178,6.001362935,9.04E-15,5.47E-13
WBGene00008388,,D1086.1,Live,protein_coding_gene,-1.814011501,1.931210547,1.05E-14,6.32E-13
WBGene00007848,cytb-5.1,C31E10.7,Live,protein_coding_gene,-0.91985717,5.467953722,1.10E-14,6.59E-13
WBGene00018314,,F41H10.1,Live,protein_coding_gene,1.843118369,1.169275581,1.12E-14,6.67E-13
WBGene00022546,,ZC196.2,Live,protein_coding_gene,-3.139459923,0.93024279,1.13E-14,6.69E-13
WBGene00009033,,F21H7.12,Live,protein_coding_gene,-2.057201942,2.088222462,1.17E-14,6.91E-13
